Date;Market;Size;Value;Momentum;Investment;Profitability;Low volatility
01.12.2003;4,09%;-0,90%;1,62%;-3,35%;-0,15%;-2,70%;2,70%
01.01.2004;2,19%;1,92%;4,57%;3,69%;4,68%;-2,15%;-4,11%
01.02.2004;1,85%;-0,43%;0,56%;-1,88%;-1,60%;0,70%;3,17%
01.03.2004;-0,96%;0,71%;0,32%;-1,45%;-1,53%;1,56%;1,66%
01.04.2004;-2,24%;-1,26%;-1,44%;-4,35%;-2,36%;0,96%;4,55%
01.05.2004;1,51%;-0,50%;0,18%;1,48%;0,18%;0,53%;-0,86%
01.06.2004;1,96%;1,00%;1,26%;-0,10%;-0,88%;0,84%;0,97%
01.07.2004;-4,23%;-1,52%;3,11%;-1,64%;-0,19%;-2,42%;6,35%
01.08.2004;-0,03%;-0,89%;0,40%;-2,09%;-0,40%;-3,39%;3,45%
01.09.2004;2,52%;1,19%;-0,89%;2,21%;-1,36%;1,07%;-1,52%
01.10.2004;1,65%;0,14%;-1,00%;-1,00%;0,25%;0,52%;0,27%
01.11.2004;5,06%;1,96%;1,49%;0,54%;-0,02%;0,67%;-3,28%
01.12.2004;3,52%;0,67%;-0,45%;-1,31%;0,76%;0,71%;-2,81%
01.01.2005;-2,84%;-0,69%;2,07%;2,75%;0,56%;-0,25%;4,61%
01.02.2005;1,96%;-0,50%;1,16%;2,90%;0,91%;0,10%;0,82%
01.03.2005;-1,48%;-1,03%;1,50%;0,47%;0,81%;1,48%;3,36%
01.04.2005;-2,77%;-2,04%;-0,05%;0,97%;-0,61%;-1,18%;3,81%
01.05.2005;3,78%;1,20%;-0,74%;0,62%;0,66%;1,76%;-3,17%
01.06.2005;0,97%;1,67%;1,45%;1,15%;-0,30%;-0,23%;-0,62%
01.07.2005;4,64%;1,21%;0,09%;-1,34%;-0,89%;-0,13%;-2,67%
01.08.2005;-1,22%;-0,06%;0,52%;0,68%;1,14%;-0,87%;-0,16%
01.09.2005;0,67%;-0,19%;-0,57%;1,62%;0,32%;-0,25%;-1,01%
